Date,Type,Link
2025-12-17 07:53:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7406045207395196928
2025-11-25 14:06:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7397763342695723009
2025-10-31 03:01:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7389668735881527296
2025-10-26 04:19:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7387216132442578944
2025-10-13 00:38:18,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7378473398013894656
2025-09-26 00:21:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7377018756092395520
2025-09-15 20:00:09,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7372468612118233088
2025-09-12 04:32:15,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7371360358688698368
2025-09-10 23:23:10,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7368393312807911429
2025-08-18 17:41:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7360397002465038337
2025-08-07 05:42:25,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7358750113588039682
2025-07-31 12:56:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7355848155403358208
2025-06-04 18:01:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7333884463988330496
2024-08-01 15:30:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7224317520961232896
2024-07-29 16:42:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7222625448285851650
2024-06-26 14:37:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7208626436931244035
2024-05-23 09:10:08,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7196406306222526465
2024-04-10 07:47:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7181586063201566720
2024-03-14 08:26:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7173258383649685504
2024-03-12 03:56:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7171785776794361856
2024-02-20 18:36:30,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7165729628408537089
2024-02-20 18:34:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A7165351323435982848
2024-02-16 04:11:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163152332619145216
2024-02-16 04:08:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7163518047738126337
2024-01-28 05:18:43,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7153224341558583297
2024-01-22 09:54:40,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A7153064210321534977
